Time,Load,Solar,Battery,Grid,SOC
7.518,2699.99998312519,753.610427000527,1297.59303741645,648.796518708222,0.491020976807958
7.519,2699.99998327887,753.791318774657,1297.47244300281,648.736221501406,0.491019775444585
7.52,2699.99998343118,753.972151694195,1297.35188782466,648.675943912329,0.491018574192837
7.521,2699.99998358213,754.152925740208,1297.23137189462,648.615685947309,0.491017373052678
7.522,2699.99998373174,754.333640893785,1297.1108952253,648.55544761265,0.491016172024071
7.523,2699.99998388001,754.514297136036,1296.99045782931,648.495228914657,0.491014971106981
7.524,2699.99998402695,754.694894448089,1296.87005971924,648.43502985962,0.49101377030137
7.525,2699.99998417258,754.875432811097,1296.74970090766,648.374850453829,0.491012569607202
7.526,2699.99998431692,755.055912206229,1296.62938140712,648.314690703563,0.491011369024442
7.527,2699.99998445996,755.236332614679,1296.50910123019,648.254550615094,0.491010168553052
7.528,2699.99998460173,755.416694017657,1296.38886038938,648.19443019469,0.491008968192996
7.529,2699.99998474223,755.596996396398,1296.26865889722,648.13432944861,0.491007767944238
7.53,2699.99998488147,755.777239732156,1296.14849676621,648.074248383105,0.491006567806741
7.531,2699.99998501947,755.957424006203,1296.02837400885,648.014187004423,0.491005367780468
7.532,2699.99998515624,756.137549199834,1295.9082906376,647.954145318801,0.491004167865385
7.533,2699.99998529178,756.317615294365,1295.78824666494,647.894123332471,0.491002968061452
7.534,2699.99998542611,756.497622271131,1295.66824210332,647.83412105166,0.491001768368636
7.535,2699.99998555924,756.677570111489,1295.54827696517,647.774138482584,0.491000568786898
7.536,2699.99998569118,756.857458796812,1295.42835126291,647.714175631455,0.490999369316202
7.537,2699.99998582194,757.0372883085,1295.30846500896,647.654232504479,0.490998169956512
7.538,2699.99998595152,757.217058627968,1295.1886182157,647.594309107852,0.490996970707792
7.539,2699.99998607995,757.396769736653,1295.06881089553,647.534405447767,0.490995771570004
7.54,2699.99998620723,757.576421616014,1294.94904306081,647.474521530406,0.490994572543112
7.541,2699.99998633337,757.756014247527,1294.82931472389,647.414657361947,0.49099337362708
7.542,2699.99998645838,757.935547612691,1294.70962589712,647.354812948562,0.490992174821871
7.543,2699.99998658227,758.115021693024,1294.58997659283,647.294988296414,0.490990976127448
7.544,2699.99998670504,758.294436470063,1294.47036682332,647.235183411661,0.490989777543775
7.545,2699.99998682672,758.473791925368,1294.3507966009,647.175398300452,0.490988579070815
7.546,2699.99998694731,758.653088040516,1294.23126593786,647.115632968931,0.490987380708532
7.547,2699.99998706682,758.832324797107,1294.11177484647,647.055887423237,0.490986182456889
7.548,2699.99998718525,759.011502176759,1293.992323339,646.996161669498,0.490984984315849
7.549,2699.99998730263,759.190620161111,1293.87291142768,646.936455713838,0.490983786285375
7.55,2699.99998741895,759.36967873182,1293.75353912475,646.876769562375,0.490982588365431
7.551,2699.99998753422,759.548677870567,1293.63420644244,646.817103221219,0.490981390555981
7.552,2699.99998764846,759.727617559049,1293.51491339294,646.757456696472,0.490980192856987
