Time,Load,Solar,Battery,Grid,SOC
3.841,705.866266319365,202.350491492992,335.677183217582,167.838591608791,0.495375981340732
3.842,705.898254533559,202.587709672636,335.540363240615,167.770181620308,0.49537567065521
3.843,705.935146869337,202.825155531727,335.40666089174,167.70333044587,0.495375360093487
3.844,705.976945300626,203.062829199732,335.276077400596,167.638038700298,0.495375049652675
3.845,706.023651762943,203.30073080604,335.148613971269,167.574306985634,0.495374739329884
3.846,706.075268153346,203.538860479953,335.024271782262,167.512135891131,0.495374429122225
3.847,706.131796330377,203.777218350693,334.903051986456,167.451525993228,0.495374119026807
3.848,706.193238114005,204.015804547395,334.784955711074,167.392477855537,0.495373809040736
3.849,706.259595285579,204.254619199114,334.669984057643,167.334992028822,0.495373499161122
3.85,706.330869587766,204.493662434817,334.558138101966,167.279069050983,0.495373189385068
3.851,706.407062724507,204.73293438339,334.449418894078,167.224709447039,0.49537287970968
3.852,706.488176360959,204.972435173631,334.343827458218,167.171913729109,0.495372570132062
3.853,706.574212123446,205.212164934256,334.241364792793,167.120682396397,0.495372260649317
3.854,706.665171599408,205.452123793893,334.142031870343,167.071015935172,0.495371951258546
3.855,706.76105633735,205.692311881085,334.04582963751,167.022914818755,0.495371641956852
3.856,706.861867846792,205.93272932429,333.952759015002,166.976379507501,0.495371332741335
3.857,706.967607598221,206.173376251877,333.862820897562,166.931410448781,0.495371023609093
3.858,707.078277023039,206.414252792131,333.776016153938,166.888008076969,0.495370714557226
3.859,707.193877513517,206.65535907325,333.692345626845,166.846172813423,0.495370405582832
3.86,707.314410422751,206.896695223341,333.61181013294,166.80590506647,0.495370096683008
3.861,707.439877064605,207.138261370428,333.534410462785,166.767205231393,0.49536978785485
3.862,707.570278713675,207.380057642443,333.460147380822,166.730073690411,0.495369479095455
3.863,707.705616605236,207.622084167232,333.389021625336,166.694510812668,0.495369170401916
3.864,707.845891935199,207.864341072553,333.32103390843,166.660516954215,0.495368861771329
3.865,707.991105860065,208.106828486073,333.256184915994,166.628092457997,0.495368553200787
3.866,708.141259496883,208.349546535371,333.194475307675,166.597237653837,0.495368244687384
3.867,708.296353923203,208.592495347934,333.135905716846,166.567952858423,0.495367936228212
3.868,708.456390177035,208.835675051164,333.080476750581,166.54023837529,0.495367627820364
3.869,708.621369256805,209.079085772368,333.028188989625,166.514094494812,0.495367319460929
3.87,708.791292121313,209.322727638764,332.979042988366,166.489521494183,0.495367011147001
3.871,708.966159689692,209.56660077748,332.933039274808,166.466519637404,0.495366702875668
3.872,709.145972841367,209.810705315551,332.890178350544,166.445089175272,0.495366394644021
3.873,709.330732416013,210.055041379923,332.850460690726,166.425230345363,0.49536608644915
3.874,709.520439213517,210.299609097448,332.813886744046,166.406943372023,0.495365778288144
3.875,709.715093993937,210.544408594887,332.7804569327,166.39022846635,0.495365470158091
3.876,709.914697477465,210.789439998907,332.750171652372,166.375085826186,0.495365162056081
3.877,710.119250344387,211.034703436084,332.723031272202,166.361515636101,0.4953648539792
3.878,710.328753235047,211.280199032899,332.699036134765,166.349518067383,0.495364545924537
3.879,710.543206749808,211.525926915742,332.678186556045,166.339093278022,0.495364237889179
3.88,710.762611449018,211.771887210906,332.660482825408,166.330241412704,0.495363929870213
3.881,710.98696785297,212.018080044593,332.645925205585,166.322962602792,0.495363621864727
3.882,711.216276441873,212.264505542909,332.634513932643,166.317256966321,0.495363313869807
3.883,711.45053765581,212.511163831865,332.626249215964,166.313124607982,0.495363005882539
3.884,711.689751894711,212.758055037377,332.621131238223,166.310565619111,0.49536269790001
3.885,711.933919518313,213.005179285267,332.619160155364,166.309580077682,0.495362389919306
3.886,712.18304084613,213.252536701259,332.62033609658,166.31016804829,0.495362081937513
3.887,712.437116157421,213.500127410983,332.624659164292,166.312329582146,0.495361773951718
3.888,712.696145691157,213.747951539971,332.632129434124,166.316064717062,0.495361465959005
3.889,712.960129645991,213.99600921366,332.642746954887,166.321373477444,0.495361157956462
3.89,713.229068180225,214.244300557387,332.656511748558,166.328255874279,0.495360849941173
3.891,713.502961411783,214.492825696396,332.673423810258,166.336711905129,0.495360541910225
3.892,713.781809418177,214.74158475583,332.693483108232,166.346741554116,0.495360233860704
3.893,714.065612236485,214.990577860735,332.716689583833,166.358344791917,0.495359925789695
3.894,714.354369863315,215.239805136058,332.743043151505,166.371521575752,0.495359617694285
3.895,714.648082254782,215.489266706648,332.772543698756,166.386271849378,0.495359309571559
3.896,714.946749326479,215.738962697256,332.805191086149,166.402595543074,0.495359001418604
3.897,715.250370953453,215.988893232531,332.840985147281,166.42049257364,0.495358693232507
3.898,715.558946970174,216.239058437026,332.879925688765,166.439962844383,0.495358385010354
3.899,715.872477170516,216.489458435191,332.922012490217,166.461006245108,0.495358076749231
3.9,716.190961307726,216.740093351376,332.967245304233,166.483622652117,0.495357768446226
3.901,716.514399094404,216.990963309832,333.015623856381,166.507811928191,0.495357460098426
3.902,716.842790202478,217.242068434708,333.06714784518,166.53357392259,0.495357151702919
3.903,717.176134263181,217.493408850052,333.121816942086,166.560908471043,0.495356843256792
3.904,717.514430867029,217.744984679811,333.179630791479,166.589815395739,0.495356534757134
3.905,717.857679563798,217.996796047828,333.240589010647,166.620294505324,0.495356226201033
3.906,718.205879862506,218.248843077846,333.304691189773,166.652345594887,0.495355917585578
3.907,718.559031231386,218.501125893504,333.371936891921,166.685968445961,0.495355608907859
3.908,718.917133097874,218.753644618339,333.442325653023,166.721162826512,0.495355300164965
3.909,719.280184848585,219.006399375785,333.515856981866,166.757928490933,0.495354991353986
3.91,719.648185829293,219.259390289171,333.592530360081,166.79626518004,0.495354682472013
3.911,720.021135344916,219.512617481724,333.672345242128,166.836172621064,0.495354373516138
3.912,720.399032659498,219.766081076565,333.755301055288,166.877650527644,0.495354064483452
3.913,720.78187699619,220.019781196711,333.841397199653,166.920698599826,0.495353755371047
3.914,721.169667537236,220.273717965076,333.930633048107,166.965316524054,0.495353446176017
3.915,721.562403423956,220.527891504465,334.023007946327,167.011503973164,0.495353136895454
3.916,721.960083756728,220.78230193758,334.118521212765,167.059260606383,0.495352827526453
3.917,722.362707594983,221.036949387019,334.217172138643,167.108586069321,0.495352518066108
3.918,722.770273957177,221.291833975269,334.318959987939,167.15947999397,0.495352208511515
3.919,723.182781820791,221.546955824714,334.423883997384,167.211941998692,0.495351898859771
3.92,723.600230122309,221.802315057631,334.531943376453,167.265971688226,0.495351589107972
3.921,724.022617757213,222.057911796188,334.64313730735,167.321568653675,0.495351279253215
3.922,724.449943579963,222.313746162447,334.757464945011,167.378732472506,0.495350969292599
3.923,724.882206403997,222.569818278361,334.87492541709,167.437462708545,0.495350659223224
3.924,725.319405001709,222.826128265777,334.995517823955,167.497758911977,0.495350349042189
3.925,725.761538104452,223.082676246432,335.11924123868,167.55962061934,0.495350038746595
3.926,726.208604402515,223.339462341953,335.246094707041,167.623047353521,0.495349728333544
3.927,726.660602545128,223.59648667386,335.376077247511,167.688038623756,0.495349417800139
3.928,727.117531140444,223.853749363563,335.509187851254,167.754593925627,0.495349107143484
3.929,727.579388755538,224.111250532361,335.645425482118,167.822712741059,0.495348796360683
3.93,728.046173916399,224.368990301444,335.784789076637,167.892394538319,0.495348485448841
3.931,728.517885107922,224.626968791891,335.927277544021,167.963638772011,0.495348174405065
3.932,728.994520773905,224.885186124671,336.072889766156,168.036444883078,0.495347863226464
3.933,729.476079317043,225.143642420641,336.221624597602,168.110812298801,0.495347551910145
3.934,729.962559098925,225.402337800547,336.373480865586,168.186740432793,0.495347240453218
3.935,730.453958440031,225.661272385022,336.528457370005,168.264228685003,0.495346928852795
3.936,730.950275619725,225.92044629459,336.686552883423,168.343276441712,0.495346617105986
3.937,731.45150887626,226.179859649659,336.847766151067,168.423883075534,0.495346305209907
3.938,731.95765640677,226.439512570526,337.01209589083,168.506047945415,0.49534599316167
3.939,732.468716367273,226.699405177374,337.179540793266,168.589770396633,0.495345680958391
3.94,732.984686872668,226.959537590274,337.350099521596,168.675049760798,0.495345368597188
3.941,733.505565996738,227.219909929183,337.523770711703,168.761885355852,0.495345056075178
3.942,734.031351772147,227.480522313941,337.700552972137,168.850276486069,0.495344743389481
3.943,734.562042190446,227.741374864278,337.880444884112,168.940222442056,0.495344430537217
3.944,735.097635202074,228.002467699806,338.063445001512,169.031722500756,0.495344117515509
3.945,735.638128716357,228.263800940023,338.249551850889,169.124775925445,0.495343804321479
3.946,736.183520601517,228.525374704311,338.438763931471,169.219381965735,0.495343490952253
3.947,736.733808684673,228.787189111938,338.631079715157,169.315539857579,0.495343177404957
3.948,737.288990751846,229.049244282054,338.826497646528,169.413248823264,0.495342863676719
3.949,737.849064547963,229.311540333692,339.025016142847,169.512508071424,0.495342549764667
3.95,738.414027776866,229.574077385771,339.226633594063,169.613316797032,0.495342235665932
3.951,738.983878101317,229.836855557091,339.431348362817,169.715674181409,0.495341921377646
3.952,739.558613143005,230.099874966335,339.639158784447,169.819579392224,0.495341606896944
3.953,740.138230482554,230.363135732067,339.850063166991,169.925031583496,0.495341292220959
3.954,740.722727659529,230.626637972735,340.064059791196,170.032029895598,0.49534097734683
3.955,741.312102172453,230.890381806668,340.281146910523,170.140573455262,0.495340662271694
3.956,741.906351478805,231.154367352074,340.501322751154,170.250661375577,0.495340346992691
3.957,742.505472995041,231.418594727046,340.724585511997,170.362292755998,0.495340031506964
3.958,743.109464096598,231.683064049554,340.950933364696,170.475466682348,0.495339715811655
3.959,743.718322117909,231.947775437449,341.18036445364,170.59018222682,0.495339399903911
3.96,744.332044352416,232.212729008464,341.412876895968,170.706438447984,0.495339083780876
3.961,744.950628052577,232.477924880209,341.648468781578,170.824234390789,0.495338767439702
